Puzzle,Size,Moves,Algo,Time(s),Solved
npuzzle_3x3_len16_0.txt,3x3,16,bfs,0.0499,True
npuzzle_3x3_len16_0.txt,3x3,16,dfs,2.1256,False
npuzzle_3x3_len16_0.txt,3x3,16,astar,0.0485,True
npuzzle_3x3_len16_1.txt,3x3,16,bfs,0.0379,True
npuzzle_3x3_len16_1.txt,3x3,16,dfs,0.7868,False
npuzzle_3x3_len16_1.txt,3x3,16,astar,0.0444,True
npuzzle_3x3_len32_0.txt,3x3,32,bfs,0.0531,True
npuzzle_3x3_len32_0.txt,3x3,32,dfs,0.6686,False
npuzzle_3x3_len32_0.txt,3x3,32,astar,0.0521,True
npuzzle_3x3_len32_1.txt,3x3,32,bfs,0.0414,True
npuzzle_3x3_len32_1.txt,3x3,32,dfs,0.7411,False
npuzzle_3x3_len32_1.txt,3x3,32,astar,0.0447,True
npuzzle_3x3_len3_0.txt,3x3,3,bfs,0.0401,True
npuzzle_3x3_len3_0.txt,3x3,3,dfs,0.6493,False
npuzzle_3x3_len3_0.txt,3x3,3,astar,0.0384,True
npuzzle_3x3_len3_1.txt,3x3,3,bfs,0.0366,True
npuzzle_3x3_len3_1.txt,3x3,3,dfs,0.0386,True
npuzzle_3x3_len3_1.txt,3x3,3,astar,0.0402,True
npuzzle_3x3_len48_0.txt,3x3,48,bfs,14.301,True
npuzzle_3x3_len48_0.txt,3x3,48,dfs,0.65,False
npuzzle_3x3_len48_0.txt,3x3,48,astar,0.7369,True
npuzzle_3x3_len48_1.txt,3x3,48,bfs,0.0575,True
npuzzle_3x3_len48_1.txt,3x3,48,dfs,0.7499,False
npuzzle_3x3_len48_1.txt,3x3,48,astar,0.0467,True
npuzzle_3x3_len8_0.txt,3x3,8,bfs,0.0408,True
npuzzle_3x3_len8_0.txt,3x3,8,dfs,0.0404,True
npuzzle_3x3_len8_0.txt,3x3,8,astar,0.0423,True
npuzzle_3x3_len8_1.txt,3x3,8,bfs,0.0412,True
npuzzle_3x3_len8_1.txt,3x3,8,dfs,0.0406,True
npuzzle_3x3_len8_1.txt,3x3,8,astar,0.044,True
npuzzle_4x4_len16_0.txt,4x4,16,bfs,0.0742,True
npuzzle_4x4_len16_0.txt,4x4,16,dfs,222.1071,False
npuzzle_4x4_len16_0.txt,4x4,16,astar,4.3621,True
npuzzle_4x4_len16_1.txt,4x4,16,bfs,0.1046,True
npuzzle_4x4_len16_1.txt,4x4,16,dfs,178.2396,False
npuzzle_4x4_len16_1.txt,4x4,16,astar,0.4454,True
npuzzle_4x4_len2_0.txt,4x4,2,bfs,0.0405,True
npuzzle_4x4_len2_0.txt,4x4,2,dfs,176.4602,False
npuzzle_4x4_len2_0.txt,4x4,2,astar,0.1497,True
npuzzle_4x4_len2_1.txt,4x4,2,bfs,0.0466,False
npuzzle_4x4_len2_1.txt,4x4,2,dfs,0.0437,False
npuzzle_4x4_len2_1.txt,4x4,2,astar,0.0433,False
npuzzle_4x4_len32_0.txt,4x4,32,bfs,300.914,True
npuzzle_4x4_len32_0.txt,4x4,32,dfs,176.4587,False
npuzzle_4x4_len32_0.txt,4x4,32,astar,15.2509,True
npuzzle_4x4_len32_1.txt,4x4,32,bfs,0.0556,True
npuzzle_4x4_len32_1.txt,4x4,32,dfs,173.0576,False
npuzzle_4x4_len32_1.txt,4x4,32,astar,0.1332,True
npuzzle_4x4_len8_0.txt,4x4,8,bfs,0.0433,True
npuzzle_4x4_len8_0.txt,4x4,8,dfs,0.4105,False
npuzzle_4x4_len8_0.txt,4x4,8,astar,0.0461,True
npuzzle_4x4_len8_1.txt,4x4,8,bfs,0.0424,True
npuzzle_4x4_len8_1.txt,4x4,8,dfs,0.2951,False
npuzzle_4x4_len8_1.txt,4x4,8,astar,0.0388,True
